,5919806fc15d4a3a2199e65c,5919806fc15d4a3a2199e65d,5919806fc15d4a3a2199e660,5919806fc15d4a3a2199e661,5919806fc15d4a3a2199e662
0,,0,,0,0
1,,,0,0,1
2,3,2,1,0,0
3,1,,0,0,1
4,0,0,0,,
5,0,0,0,,
6,2,,0,0,2
7,3,,,1,2
8,,,1,0,2
9,3,,,0,1
10,0,,,,
11,,2,0,,0
12,1,2,3,,2
13,0,,1,,
14,1,0,,0,
15,0,,,,4
16,,0,0,,
17,,,2,0,
18,,0,2,0,
19,,0,0,,
20,0,,0,0,0
21,,,,,1
22,0,,0,0,0
