,5919806fc15d4a3a2199e669,5919806fc15d4a3a2199e66a,5919806fc15d4a3a2199e66b,5919806fc15d4a3a2199e66c,5919806fc15d4a3a2199e66d,5919806fc15d4a3a2199e66e
0,3,2,2,2,2,2
1,2,-1,-1,0,2,1
2,1,1,1,1,2,2
3,3,-2,1,2,2,3
4,2,0,0,-1,2,2
5,3,-2,2,0,2,2
6,2,2,-2,2,2,2
7,3,2,3,1,1,2
8,0,0,0,0,0,0
9,2,0,2,0,2,1
10,4,2,3,2,4,4
