,5919806fc15d4a3a2199e65c,5919806fc15d4a3a2199e65d,5919806fc15d4a3a2199e660,5919806fc15d4a3a2199e661,5919806fc15d4a3a2199e662
0,1,,3,,
1,0,0,1,,1
2,1,0,,,0
3,,0,,0,
4,0,0,0,,
5,,,,0,0
6,3,0,,,0
7,,0,0,0,
8,0,0,0,,
9,,0,,,1
10,,0,,0,0
