,5922debac15d4a349457cd08,5922debac15d4a349457cd09,5922debac15d4a349457cd0a,5922debac15d4a349457cd0b,5922debac15d4a349457cd0c,5922debac15d4a349457cd0d,5922debac15d4a349457cd0e,5922debac15d4a349457cd0f,5922debac15d4a349457cd10,5922debac15d4a349457cd11,5922debac15d4a349457cd12,5922debac15d4a349457cd13,5922debac15d4a349457cd14,5922debac15d4a349457cd15,5922debac15d4a349457cd17,5922debac15d4a349457cd1a,5922debac15d4a349457cd1b,5922debac15d4a349457cd1c,5922debac15d4a349457cd1d,5922debac15d4a349457cd1e,5922debac15d4a349457cd1f,5922debac15d4a349457cd20,5922debac15d4a349457cd21,5922debac15d4a349457cd22,5922debac15d4a349457cd23,5922debac15d4a349457cd24,5922debac15d4a349457cd25,5922debac15d4a349457cd26,5922debac15d4a349457cd27,5922debac15d4a349457cd28,5922debac15d4a349457cd29,5922debac15d4a349457cd2a,5922debac15d4a349457cd2b,5922debac15d4a349457cd2c,5922debac15d4a349457cd2d,5922debac15d4a349457cd2e,5922debac15d4a349457cd2f,5922debac15d4a349457cd30,5922debac15d4a349457cd31,5922debac15d4a349457cd32,5922debac15d4a349457cd33,5922debac15d4a349457cd34,5922debac15d4a349457cd35,5922debac15d4a349457cd36,5922debac15d4a349457cd37,5922debac15d4a349457cd38,5922debac15d4a349457cd3a,5922debac15d4a349457cd3b,5922debac15d4a349457cd3c,5922debac15d4a349457cd3d,5922debac15d4a349457cd3e
0,0.9230769230769231,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8461538461538461,1.0,0.8571428571428571,0.8888888888888888,1.0,0.8888888888888888,0.8461538461538461,1.0,1.0,0.8888888888888888,0.7857142857142857,0.875,0.8888888888888888,1.0,1.0,0.8888888888888888,0.875,1.0,0.8888888888888888,0.8461538461538461,0.7857142857142857,0.875,0.7857142857142857,0.8888888888888888,0.875,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,1.0,1.0,0.7272727272727273,0.75,0.875,0.875,0.8888888888888888,0.8181818181818182,0.8888888888888888
1,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.8333333333333334,0.8571428571428571,1.0,1.0,1.0,0.8181818181818182,0.875,0.875,1.0,1.0,0.8571428571428571,1.0,1.0,0.7333333333333333,1.0,1.0,0.8,1.0,0.875,0.8571428571428571,1.0,0.7272727272727273,1.0,0.7777777777777778,0.6,0.6666666666666666,0.8,0.8,0.8,0.6666666666666666,0.5555555555555556,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,1.0
2,0.9880952380952381,0.9880952380952381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9871794871794872,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,0.8181818181818182,0.875,1.0,1.0,1.0,0.875,0.9,1.0,0.875,0.75,0.875,0.9,0.8888888888888888,0.8888888888888888,1.0,0.8571428571428571,1.0,1.0,0.75,0.8888888888888888,1.0,0.8181818181818182,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8888888888888888,0.7142857142857143,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8571428571428571,0.8,0.8,0.7272727272727273,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.875,1.0,1.0,0.875,1.0,0.7777777777777778,0.875,0.875,0.875,1.0,0.875,0.8888888888888888,0.875,0.875,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8,0.8,0.8,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.5625,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.625,0.8333333333333334
5,0.9814814814814815,0.9814814814814815,1.0,1.0,1.0,0.98,0.98,1.0,0.9767441860465116,0.875,0.875,0.875,0.7857142857142857,0.875,0.8,1.0,0.875,0.8,0.875,1.0,1.0,0.8,1.0,0.875,0.9,0.875,1.0,0.875,1.0,0.7,0.8,0.8571428571428571,0.75,0.6,1.0,0.7,0.5454545454545454,0.8,0.8,0.7777777777777778,0.7777777777777778,1.0,0.625,0.8,0.8333333333333334,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666,1.0
6,1.0,0.9473684210526315,0.9333333333333333,1.0,1.0,0.9444444444444444,0.9473684210526315,1.0,1.0,0.8333333333333334,0.8888888888888888,1.0,1.0,1.0,0.8571428571428571,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,0.8,0.8888888888888888,0.7222222222222222,0.7272727272727273,0.7333333333333333,0.8888888888888888,1.0,0.8888888888888888,0.8,0.8,1.0,0.7142857142857143,0.7647058823529411,0.8333333333333334,0.8571428571428571,0.6153846153846154,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8181818181818182,1.0
7,1.0,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.8947368421052632,0.9333333333333333,1.0,1.0,0.75,1.0,1.0,0.875,0.9090909090909091,1.0,1.0,0.875,1.0,1.0,0.8,0.9,1.0,0.875,1.0,0.875,0.875,1.0,0.8888888888888888,1.0,0.8571428571428571,0.8571428571428571,1.0,0.7777777777777778,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,1.0,0.75,0.75,0.7777777777777778,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7857142857142857,1.0,1.0,1.0,0.875,0.875,1.0,1.0,0.8888888888888888,1.0,1.0,0.875,1.0,0.875,0.8,1.0,1.0,0.875,1.0,1.0,0.8888888888888888,1.0,0.9090909090909091,0.875,1.0,1.0,0.7692307692307693,0.8888888888888888,0.8888888888888888,1.0,0.875,0.8,1.0,0.8888888888888888,0.875,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,0.9,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,0.9090909090909091,1.0,0.8888888888888888,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.9,0.875,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8571428571428571,1.0,1.0
