,5919806fc15d4a3a2199e65c,5919806fc15d4a3a2199e65d,5919806fc15d4a3a2199e660,5919806fc15d4a3a2199e661,5919806fc15d4a3a2199e662
0,,,,0,
1,,,0,0,
2,,,,0,0
3,,0,0,0,
4,0,0,,0,0
5,,,0,0,
6,,,0,0,
7,,,1,,
8,0,0,,,
9,,,1,0,
10,0,0,,,
11,0,,0,,0
12,1,,3,,
13,0,0,1,,1
14,1,0,,,0
15,,0,,0,
16,0,0,0,,
17,,,,0,0
18,3,0,,,0
19,,0,0,0,
20,0,0,0,,
21,,0,,,1
22,,0,,0,0
