,5922debbc15d4a349457ce4f,5922debbc15d4a349457ce50,5922debbc15d4a349457ce51,5922debbc15d4a349457ce52,5922debbc15d4a349457ce53,5922debbc15d4a349457ce54
0,3,2,3,1,2,2
1,2,1,1,0,2,2
2,1,2,0,2,2,2
3,0,2,2,2,2,2
4,2,2,2,2,2,2
5,-1,3,4,1,1,2
6,0,1,1,0,2,2
7,1,0,0,0,2,2
8,0,0,0,0,0,0
9,2,2,2,2,2,2
10,3,2,0,3,1,3
